Client,Warehouse,Product,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01
0,1,367,0.246642,0.263762,0.269742,0.268635,0.266743,0.269063,0.269092,0.271322,0.264660,0.269104,0.269104,0.266882,0.264661
0,1,639,3.385547,3.502405,3.482228,3.577244,3.362978,3.481626,3.408991,3.511144,3.462271,3.346818,3.453048,3.411152,3.368585
0,1,655,3.267448,3.271892,3.448451,3.428262,3.371608,3.512916,3.427395,3.516134,3.496110,3.352466,3.494238,3.622377,3.570775
0,1,1149,0.281232,0.316801,0.327912,0.328213,0.330090,0.326595,0.331179,0.314242,0.335630,0.327118,0.335661,0.335664,0.327132
0,1,1485,3.343310,3.504334,3.528535,3.532172,3.532719,3.532801,3.532814,3.532815,3.532816,3.534146,3.534616,3.533129,3.532972
0,1,1965,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
0,1,1969,0.567218,0.620298,0.654693,0.675203,0.687827,0.696282,0.701407,0.704356,0.706104,0.707859,0.708640,0.708875,0.709180
0,1,3179,0.527548,0.580452,0.588073,0.643970,0.646360,0.557207,0.612015,0.584622,0.585529,0.568937,0.577661,0.635972,0.606418
0,1,3234,0.044008,0.057339,0.096657,0.101247,0.088308,0.074229,0.121265,0.075364,0.091015,0.091132,0.091197,0.075798,0.075817
0,1,3463,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
0,1,3515,1.198716,1.215036,1.295451,1.238783,1.171385,1.161652,1.249969,1.267363,1.211478,1.203522,1.214561,1.270471,1.186379
0,1,4337,3.230682,3.094367,2.924670,2.981059,2.851756,2.809109,2.819735,2.847054,2.746744,2.668852,2.745920,2.758874,2.815153
0,1,4431,8.484035,8.376875,8.526023,8.519936,8.273482,8.159593,8.309752,8.295561,7.988992,7.980333,8.042647,8.002221,8.012670
0,1,5317,0.151172,0.157532,0.163564,0.166606,0.173738,0.174512,0.169304,0.169501,0.175199,0.169650,0.169676,0.175287,0.164096
0,1,5604,23.548227,22.225726,22.894353,24.252920,24.219189,24.528114,25.112168,24.975195,25.288583,25.756284,25.530884,25.960399,25.553739
0,1,5619,3.958147,3.634027,3.709119,3.736868,3.733648,3.828825,3.829659,4.080064,3.703557,3.919872,3.837127,3.709664,3.837225
0,1,5657,1.030827,1.060980,1.123895,1.232113,1.194268,1.180684,1.199212,1.271945,1.196895,1.204366,1.191545,1.205331,1.240878
0,1,5871,1.712978,2.187380,2.320393,2.381992,2.487277,2.249355,2.421898,2.396178,2.320687,2.364943,2.302903,2.520140,2.407591
0,1,6341,2.235773,2.467862,2.587839,2.744512,2.545625,2.577187,2.804365,2.828005,2.550333,2.614500,2.540924,2.822703,2.611402
0,1,6898,0.557222,0.602477,0.637529,0.657811,0.672147,0.678547,0.675434,0.684512,0.687525,0.684850,0.683579,0.688995,0.685713
0,1,7022,1.731732,1.781497,1.793720,1.826636,1.785087,1.672394,1.788354,1.749485,1.691896,1.695653,1.747632,1.689515,1.777625
0,1,7186,5.027600,4.836068,4.657228,4.904628,4.673548,4.619654,4.631774,4.630626,4.544557,4.534859,4.486282,4.483407,4.639716
0,1,7457,1.082937,1.087192,1.090278,1.090685,1.103488,1.109870,1.103496,1.097122,1.109871,1.109871,1.103496,1.109871,1.103496
0,1,7469,1.453113,1.525059,1.539506,1.542407,1.542990,1.543107,1.543130,1.543135,1.543136,1.543270,1.543292,1.543225,1.543181
0,1,7661,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
0,1,7984,0.400569,0.376226,0.383874,0.434245,0.435052,0.435314,0.435399,0.435427,0.403511,0.387552,0.435440,0.435440,0.419478
0,1,8011,20.115807,19.707961,19.801048,20.802503,19.013337,19.151503,19.108258,19.930165,19.180406,19.134709,19.795848,19.501419,19.729281
0,1,8157,0.298650,0.333663,0.360247,0.372076,0.382068,0.376715,0.385271,0.380388,0.381173,0.387862,0.381894,0.382048,0.385254
0,1,8264,3.194417,3.237303,3.294535,3.456669,3.398930,3.188255,3.390990,3.300789,3.278784,3.135237,3.303480,3.341400,3.326672
0,1,8468,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
0,1,8587,1.119587,1.236358,1.246487,1.271357,1.227816,1.259577,1.304577,1.308842,1.265275,1.316635,1.328070,1.347547,1.343853
0,1,8869,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
0,1,10705,2.678368,2.606428,2.613300,2.797461,2.680118,2.686353,2.690462,2.732617,2.574267,2.609389,2.594413,2.631260,2.703069
0,1,11000,10.515751,11.018314,11.002622,11.563574,11.730076,10.838284,11.505774,11.293161,10.827414,11.337855,11.572531,11.475521,11.288984
0,1,11015,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
0,1,11526,0.598208,0.657564,0.704774,0.695699,0.692931,0.704145,0.726696,0.697504,0.697786,0.697919,0.706492,0.702266,0.719303
0,1,11552,4.895197,5.072634,5.175715,5.291937,5.128055,5.084240,5.169333,5.165314,5.009420,5.026171,5.110272,5.059454,5.120474
0,1,11983,1.571601,1.539512,1.619877,1.718516,1.638901,1.591348,1.677854,1.679855,1.640608,1.533935,1.588827,1.717169,1.665357
0,1,12171,0.926706,0.945799,1.081441,1.087339,1.012699,1.009188,1.094774,1.068143,1.051919,1.069149,1.087696,1.090602,1.098062
0,1,12298,0.188562,0.183221,0.183590,0.183564,0.183566,0.183566,0.183566,0.183566,0.183566,0.183566,0.183566,0.183566,0.183576
0,1,14160,0.981939,1.049491,1.064673,1.068084,1.068851,1.069023,1.069062,1.069071,1.069073,0.423099,1.011685,1.026032,1.069073
0,1,14311,4.183756,4.031656,4.301211,4.277018,4.073844,4.190705,3.855344,4.143734,4.073486,4.001462,3.984032,4.123052,4.061109
0,3,0,25.207425,33.542858,33.328530,38.627453,34.419679,33.932064,37.323311,38.967456,33.928417,34.372067,34.593342,47.292966,39.405537
0,3,400,458.482153,516.865094,527.734113,578.243357,662.880008,580.918073,574.925495,548.628906,530.695726,512.030627,546.693328,610.591442,557.860165
0,3,439,88.975560,99.117242,101.495880,105.221818,96.283956,91.120035,104.776670,106.130965,100.042308,93.128810,100.778537,113.865700,102.220320
0,3,1102,111.563731,117.973063,120.357020,123.757320,115.725520,113.710891,121.983499,125.690851,120.693576,118.239052,119.888210,133.859647,118.013790
0,3,1154,844.281886,979.698929,959.454642,1134.172172,1358.652872,1139.528184,1165.622506,1058.465601,2266.959875,1069.906561,1061.495846,1326.938692,1516.218493
0,3,1181,32.281352,26.305095,32.795738,27.019044,31.295086,26.999759,31.798499,27.733471,30.446902,28.086185,30.388228,27.589069,31.754575
